product_id,target_band,target_band_name_primary,target_wavelength_nm_primary,dx_px_primary,dy_px_primary,shift_px_primary,response_primary,corr_before_primary,corr_after_primary,corr_gain_primary,status_primary,error_primary,exceeds_plausibility_flag_primary,target_band_name_check,target_wavelength_nm_check,dx_px_check,dy_px_check,shift_px_check,response_check,corr_before_check,corr_after_check,corr_gain_check,status_check,error_check,exceeds_plausibility_flag_check,target_band_name,target_wavelength_nm,primary_max_side,check_max_side,scale_delta_dx_px,scale_delta_dy_px,scale_delta_px,scale_pair_available,sample_order,stratum,stratum_population_n,stratum_sample_n,inclusion_probability,design_weight,start_datetime,center_lon,center_lat,time_bin,lat_band,lon_band,source_identifier
1295,0,PAN,625,-1725.5008480240326,-978.5968654526114,1983.6847031737004,-0.0001916534165502,0.5263133313867316,0.3038270625200911,-0.2224862688666405,ok,,True,PAN,625,-65.36394806062162,-15.308434573679731,67.1326587822073,0.0354568332550115,0.556140424332311,0.5694385217138604,0.0132980973815494,ok,,False,PAN,625,4096,2048,-1660.136899963411,-963.2884308789316,1919.3694609650636,True,1,T0_A0_L3,25,1,0.04,25.0,2024-08-29 00:20:27+00:00,123.953724514,-74.86373352,0,0,3,phisat_PHISAT-2_L1_000001295_20240829002027_20240829002036_B5E60397.zip
1295,1,MS1,490,-9.065065717116797,124.09851204085383,124.42916100018353,-0.0008207290375139,0.7213645520783615,0.6779323628442411,-0.0434321892341204,ok,,True,MS1,490,709.617680482808,-102.66428461523492,717.005723679636,-0.0054075366278993,0.8044493802638695,0.6311711167847555,-0.173278263479114,ok,,True,MS1,490,4096,2048,-718.6827461999248,226.76279665608877,753.6088213607616,True,1,T0_A0_L3,25,1,0.04,25.0,2024-08-29 00:20:27+00:00,123.953724514,-74.86373352,0,0,3,phisat_PHISAT-2_L1_000001295_20240829002027_20240829002036_B5E60397.zip
1295,2,MS2,560,-762.1501426930081,-565.7425155415294,949.1772405079204,0.0010452448186697,0.7020397853757477,0.4261610379816475,-0.2758787473941002,ok,,True,MS2,560,588.0568514592219,291.5246033535632,656.3516244427111,0.0020296820584917,0.7625054085361631,0.662195731988443,-0.1003096765477201,ok,,True,MS2,560,4096,2048,-1350.20699415223,-857.2671188950926,1599.3641987353265,True,1,T0_A0_L3,25,1,0.04,25.0,2024-08-29 00:20:27+00:00,123.953724514,-74.86373352,0,0,3,phisat_PHISAT-2_L1_000001295_20240829002027_20240829002036_B5E60397.zip
1295,4,MS4,705,-374.3267857311389,-99.5736576163804,387.3441051660785,0.0009975872089853,0.6075570676304403,0.5441851411717137,-0.0633719264587265,ok,,True,MS4,705,-690.8340906092312,479.5948185152413,840.9892571814165,0.0007668150283279,0.6669964180842558,0.398528218947792,-0.2684681991364637,ok,,True,MS4,705,4096,2048,316.5073048780923,-579.1684761316217,660.0098467339851,True,1,T0_A0_L3,25,1,0.04,25.0,2024-08-29 00:20:27+00:00,123.953724514,-74.86373352,0,0,3,phisat_PHISAT-2_L1_000001295_20240829002027_20240829002036_B5E60397.zip
1295,5,MS5,740,-175.21037247304548,-46.43001854360136,181.2578860190709,0.0038549396776943,0.6278224737921954,0.6282363055599651,0.0004138317677697,ok,,True,MS5,740,-14.246478755779208,39.161120966164845,41.67199961923431,0.0172762997390236,0.6914666963044872,0.7207575817133411,0.0292908854088539,ok,,False,MS5,740,4096,2048,-160.96389371726627,-85.59113950976621,182.3052885771657,True,1,T0_A0_L3,25,1,0.04,25.0,2024-08-29 00:20:27+00:00,123.953724514,-74.86373352,0,0,3,phisat_PHISAT-2_L1_000001295_20240829002027_20240829002036_B5E60397.zip
1295,6,MS6,783,-221.2478944768696,-353.28654307621946,416.8477087968621,0.0012875906140834,0.6313745823753122,0.4056935224619398,-0.2256810599133724,ok,,True,MS6,783,217.0248907518888,-166.358762496468,273.4502533647125,-0.0004666750028263,0.6913700820535696,0.6291469033613427,-0.0622231786922269,ok,,True,MS6,783,4096,2048,-438.2727852287584,-186.92778057975147,476.4714361057177,True,1,T0_A0_L3,25,1,0.04,25.0,2024-08-29 00:20:27+00:00,123.953724514,-74.86373352,0,0,3,phisat_PHISAT-2_L1_000001295_20240829002027_20240829002036_B5E60397.zip
1295,7,MS7,842,313.3411926617196,84.13094336766562,324.4390831120724,-0.0013610585592687,0.8188448381270959,0.76571417531138,-0.0531306628157158,ok,,True,MS7,842,-13.62631226099802,-16.67946241521895,21.53789340429854,0.0495162899023853,0.86779891064987,0.8769718327030568,0.0091729220531867,ok,,False,MS7,842,4096,2048,326.96750492271764,100.81040578288457,342.1556476071924,True,1,T0_A0_L3,25,1,0.04,25.0,2024-08-29 00:20:27+00:00,123.953724514,-74.86373352,0,0,3,phisat_PHISAT-2_L1_000001295_20240829002027_20240829002036_B5E60397.zip
1309,0,PAN,625,,,,,,,,failed,ValueError: Registration image has near-zero variance.,False,PAN,625,,,,,,,,failed,ValueError: Registration image has near-zero variance.,False,PAN,625,4096,2048,,,,False,2,T0_A1_L2,5,1,0.2,5.0,2024-09-16 09:36:51+00:00,12.172203886,-16.482034464,0,1,2,phisat_PHISAT-2_L1_000001309_20240916093651_20240916093701_D038159D.zip
1309,1,MS1,490,-1.024575111426202,-0.0105080609573633,1.0246289954413246,0.2520661153830588,0.706383489672733,0.7058016491770871,-0.0005818404956459,ok,,False,MS1,490,-1.5174045093599489,0.4657751766578712,1.5872816259935028,0.4806757324840873,0.7098959561158049,0.7095632568822632,-0.0003326992335417,ok,,False,MS1,490,4096,2048,0.4928293979337468,-0.4762832376152345,0.6853659882872721,True,2,T0_A1_L2,5,1,0.2,5.0,2024-09-16 09:36:51+00:00,12.172203886,-16.482034464,0,1,2,phisat_PHISAT-2_L1_000001309_20240916093651_20240916093701_D038159D.zip
1309,2,MS2,560,-0.033108194714714,0.0727750859084608,0.0799522713013912,0.5684218853712082,0.9846429571290244,0.9847110769354408,6.811980641663329e-05,ok,,False,MS2,560,-0.0270730147790345,0.1522357939556968,0.1546243353762505,0.9211164539883612,0.9857312247510054,0.9856679579257204,-6.326682528501326e-05,ok,,False,MS2,560,4096,2048,-0.006035179935679497,-0.07946070804723601,0.07968956970786144,True,2,T0_A1_L2,5,1,0.2,5.0,2024-09-16 09:36:51+00:00,12.172203886,-16.482034464,0,1,2,phisat_PHISAT-2_L1_000001309_20240916093651_20240916093701_D038159D.zip
1309,4,MS4,705,1.0218600500186312,-0.0021110399843564,1.021862230593682,0.3813470918685198,0.9866885251862296,0.9870034285526448,0.0003149033664151,ok,,False,MS4,705,1.22766929177169,-0.0454645372919912,1.228510852255843,0.7266008398728445,0.9884753404194256,0.988997527522152,0.0005221871027263,ok,,False,MS4,705,4096,2048,-0.2058092417530588,0.043353497307634804,0.2103258655509876,True,2,T0_A1_L2,5,1,0.2,5.0,2024-09-16 09:36:51+00:00,12.172203886,-16.482034464,0,1,2,phisat_PHISAT-2_L1_000001309_20240916093651_20240916093701_D038159D.zip
1309,5,MS5,740,0.9540416566992462,-0.1974866188511441,0.974267133461198,0.4661782821640372,0.981398123693684,0.9827243325518042,0.0013262088581202,ok,,False,MS5,740,0.4274583655844708,-0.5677232123671274,0.710654838982046,0.9183742466848344,0.9833838980573972,0.9839683659110784,0.000584467853681,ok,,False,MS5,740,4096,2048,0.5265832911147754,0.3702365935159833,0.6437119679325434,True,2,T0_A1_L2,5,1,0.2,5.0,2024-09-16 09:36:51+00:00,12.172203886,-16.482034464,0,1,2,phisat_PHISAT-2_L1_000001309_20240916093651_20240916093701_D038159D.zip
1309,6,MS6,783,2.889808865531677,0.8126847740393259,3.0019080301136523,0.3187137627974152,0.9733794488344408,0.9764758612995752,0.0030964124651345,ok,,False,MS6,783,1.815979760980781,0.0118529874450814,1.816018443079031,0.7639070525765419,0.9753239269904818,0.9774019745456978,0.002078047555216,ok,,False,MS6,783,4096,2048,1.0738291045508959,0.8008317865942445,1.3395672794601652,True,2,T0_A1_L2,5,1,0.2,5.0,2024-09-16 09:36:51+00:00,12.172203886,-16.482034464,0,1,2,phisat_PHISAT-2_L1_000001309_20240916093651_20240916093701_D038159D.zip
1309,7,MS7,842,1.8997335776930413,-0.1114206995630411,1.9029982234635745,0.3740457184612751,0.9068715116793908,0.9071821698715972,0.0003106581922064,ok,,False,MS7,842,1.3234888902966304,-0.04927645619955,1.324405909030231,0.6304150453215698,0.908958398528207,0.9097761310632074,0.0008177325350003,ok,,False,MS7,842,4096,2048,0.5762446873964109,-0.0621442433634911,0.5795859269649394,True,2,T0_A1_L2,5,1,0.2,5.0,2024-09-16 09:36:51+00:00,12.172203886,-16.482034464,0,1,2,phisat_PHISAT-2_L1_000001309_20240916093651_20240916093701_D038159D.zip
1334,0,PAN,625,,,,,,,,failed,ValueError: Registration image has near-zero variance.,False,PAN,625,,,,,,,,failed,ValueError: Registration image has near-zero variance.,False,PAN,625,4096,2048,,,,False,3,T0_A1_L1,2,1,0.5,2.0,2024-10-02 11:28:16+00:00,-9.357523287,19.275854452,0,1,1,phisat_PHISAT-2_L1_000001334_20241002112816_20241002112825_07E22ED4.zip
1334,1,MS1,490,-0.9473461847933322,0.2740492886473475,0.9861885248017236,0.5982069289311767,0.836365507012364,0.8415339669925218,0.0051684599801578,ok,,False,MS1,490,-0.6428755155329782,1.009199183438568,1.1965667220530851,1.011404854245484,0.8626911700913698,0.8670673948303282,0.0043762247389584,ok,,False,MS1,490,4096,2048,-0.30447066926035404,-0.7351498947912205,0.7957058226828496,True,3,T0_A1_L1,2,1,0.5,2.0,2024-10-02 11:28:16+00:00,-9.357523287,19.275854452,0,1,1,phisat_PHISAT-2_L1_000001334_20241002112816_20241002112825_07E22ED4.zip
1334,2,MS2,560,-0.0139144427348583,0.2210515510253117,0.2214890514840804,0.7751238029450178,0.8829304339652468,0.8875133821779526,0.0045829482127057,ok,,False,MS2,560,-0.0286669391743998,0.3143718914159308,0.315676225766304,1.0542223716620356,0.9053711783059688,0.9053772476081712,6.069302202149629e-06,ok,,False,MS2,560,4096,2048,0.014752496439541499,-0.0933203403906191,0.09447921507834248,True,3,T0_A1_L1,2,1,0.5,2.0,2024-10-02 11:28:16+00:00,-9.357523287,19.275854452,0,1,1,phisat_PHISAT-2_L1_000001334_20241002112816_20241002112825_07E22ED4.zip
