level,product_id,identifier,filename,feature_id,start_datetime,completion_datetime,center_lon,center_lat,time_bin,lat_band,lon_band,stratum,stratum_population_n,stratum_sample_n,inclusion_probability,design_weight,sample_order
L1C,1913,phisat_PHISAT-2_L1_000001913_20250403090809_20250403090812_B1BC6163.zip,PHISAT-2_L1_000001913_20250403090809_20250403090812_B1BC6163.zip,767fb53e-f102-566d-a8c1-b07664b48f8a,2025-04-03 09:08:09+00:00,2025-04-03 09:08:12+00:00,29.591543108,45.172319452,1,2,2,T1_A2_L2,102,1,0.00980392156862745,102.0,17
L1C,1979,phisat_PHISAT-2_L1_000001979_20250409133816_20250409133819_6C4A2EA2.zip,PHISAT-2_L1_000001979_20250409133816_20250409133819_6C4A2EA2.zip,9c38ee56-6be8-573b-baa2-d235e6dcc1c5,2025-04-09 13:38:16+00:00,2025-04-09 13:38:19+00:00,-46.662252871,-23.622386414,1,0,1,T1_A0_L1,27,1,0.037037037037037035,27.0,18
L1C,2039,phisat_PHISAT-2_L1_000002039_20250416093017_20250416093020_87F1E8DD.zip,PHISAT-2_L1_000002039_20250416093017_20250416093020_87F1E8DD.zip,be74d9be-e364-5ec6-95e0-8ad26bb44096,2025-04-16 09:30:17+00:00,2025-04-16 09:30:20+00:00,15.347628106,-4.243915901,1,1,2,T1_A1_L2,20,1,0.05,20.0,19
L1C,2051,phisat_PHISAT-2_L1_000002051_20250418035455_20250418035458_CDFBA153.zip,PHISAT-2_L1_000002051_20250418035455_20250418035458_CDFBA153.zip,c771be41-7a72-51f8-b021-443d01fa5c23,2025-04-18 03:54:55+00:00,2025-04-18 03:54:58+00:00,106.517190374,29.560622834,1,2,3,T1_A2_L3,87,1,0.011494252873563218,87.0,20
L1C,2111,phisat_PHISAT-2_L1_000002111_20250424173455_20250424173458_83809893.zip,PHISAT-2_L1_000002111_20250424173455_20250424173458_83809893.zip,6eb79fae-a26b-5b83-8813-e06fad4e36f5,2025-04-24 17:34:55+00:00,2025-04-24 17:34:58+00:00,-99.176478747,19.419881756,1,1,0,T1_A1_L0,3,1,0.3333333333333333,3.0,21
L1C,2124,phisat_PHISAT-2_L1_000002124_20250426091301_20250426091304_C023A343.zip,PHISAT-2_L1_000002124_20250426091301_20250426091304_C023A343.zip,352ecf27-93aa-58c5-b37b-29bda3e816c7,2025-04-26 09:13:01+00:00,2025-04-26 09:13:04+00:00,17.86631761,-33.122776064,1,0,2,T1_A0_L2,8,1,0.125,8.0,22
L1C,2127,phisat_PHISAT-2_L1_000002127_20250426134822_20250426134825_FF2DF97B.zip,PHISAT-2_L1_000002127_20250426134822_20250426134825_FF2DF97B.zip,fdf23e01-53de-5469-a255-111af12536f3,2025-04-26 13:48:22+00:00,2025-04-26 13:48:25+00:00,-48.501648702,-1.103290862,1,1,1,T1_A1_L1,47,1,0.02127659574468085,47.0,23
L1C,2176,phisat_PHISAT-2_L1_000002176_20250501134250_20250501134253_3F3B4624.zip,PHISAT-2_L1_000002176_20250501134250_20250501134253_3F3B4624.zip,bd11216c-0a50-5fd3-b0c7-17aadbced554,2025-05-01 13:42:50+00:00,2025-05-01 13:42:53+00:00,-51.154232412,-30.24659762,2,0,1,T2_A0_L1,55,1,0.01818181818181818,55.0,24
L1C,2241,phisat_PHISAT-2_L1_000002241_20250512030758_20250512030801_0DE44950.zip,PHISAT-2_L1_000002241_20250512030758_20250512030801_0DE44950.zip,ae42d8a8-7ada-58d4-a97f-512075b41c1f,2025-05-12 03:07:58+00:00,2025-05-12 03:08:01+00:00,119.247239338,37.873493014,2,2,3,T2_A2_L3,86,1,0.011627906976744186,86.0,25
L1C,2266,phisat_PHISAT-2_L1_000002266_20250515113014_20250515113017_4E0F08E2.zip,PHISAT-2_L1_000002266_20250515113014_20250515113017_4E0F08E2.zip,e9108a28-1911-5c0f-8aff-82b2ed98e471,2025-05-15 11:30:14+00:00,2025-05-15 11:30:17+00:00,-6.389102902,36.548488628,2,2,1,T2_A2_L1,152,2,0.013157894736842105,76.0,26
