product_id,level,status,rows,ok_rows,non_ok_rows,expected_rows,error,started_utc,finished_utc
3888,L1C,SUCCESS,14,14,0,14,,2026-09-10T18:39:20.118866+00:00,2026-09-10T18:41:02.710507+00:00
4071,L1C,SUCCESS,14,14,0,14,,2026-09-10T18:41:03.101007+00:00,2026-09-10T18:42:52.865704+00:00
4088,L1C,SUCCESS,14,14,0,14,,2026-09-10T18:42:53.209345+00:00,2026-09-10T18:44:43.467498+00:00
4160,L1C,SUCCESS,14,14,0,14,,2026-09-10T18:44:43.873617+00:00,2026-09-10T18:46:20.182427+00:00
4418,L1C,SUCCESS,14,14,0,14,,2026-09-10T18:46:20.557269+00:00,2026-09-10T18:48:09.398585+00:00
4423,L1C,SUCCESS,14,14,0,14,,2026-09-10T18:48:09.776732+00:00,2026-09-10T18:49:59.047061+00:00
4447,L1C,SUCCESS,14,14,0,14,,2026-09-10T18:49:59.375083+00:00,2026-09-10T18:51:40.800120+00:00
4461,L1C,SUCCESS,14,14,0,14,,2026-09-10T18:51:41.612354+00:00,2026-09-10T18:53:42.274332+00:00
4576,L1C,SUCCESS,14,14,0,14,,2026-09-10T18:53:42.698089+00:00,2026-09-10T18:55:43.517950+00:00
4689,L1C,SUCCESS,14,14,0,14,,2026-09-10T18:55:44.084845+00:00,2026-09-10T18:58:01.625136+00:00
4797,L1C,SUCCESS,14,14,0,14,,2026-09-10T18:58:02.142948+00:00,2026-09-10T19:00:18.949028+00:00
4844,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:00:19.482434+00:00,2026-09-10T19:02:30.637072+00:00
4909,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:02:31.215971+00:00,2026-09-10T19:05:33.366052+00:00
4952,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:05:33.866791+00:00,2026-09-10T19:07:19.201229+00:00
4993,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:07:19.682301+00:00,2026-09-10T19:09:02.893752+00:00
5142,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:09:03.470011+00:00,2026-09-10T19:10:48.608195+00:00
5185,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:10:49.017203+00:00,2026-09-10T19:13:02.071089+00:00
5287,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:13:02.805852+00:00,2026-09-10T19:15:14.280729+00:00
5326,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:15:14.830179+00:00,2026-09-10T19:17:50.030978+00:00
5481,L1C,PARTIAL,14,12,2,14,,2026-09-10T19:17:50.555716+00:00,2026-09-10T19:19:34.464480+00:00
5492,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:19:34.982929+00:00,2026-09-10T19:21:56.484150+00:00
5545,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:21:57.020636+00:00,2026-09-10T19:23:57.514278+00:00
5629,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:23:57.979611+00:00,2026-09-10T19:25:46.105531+00:00
5701,L1C,PARTIAL,14,12,2,14,,2026-09-10T19:25:46.563824+00:00,2026-09-10T19:26:56.973742+00:00
5821,L1C,PARTIAL,14,12,2,14,,2026-09-10T19:26:57.301764+00:00,2026-09-10T19:28:09.225584+00:00
5879,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:28:09.584854+00:00,2026-09-10T19:29:37.114622+00:00
5891,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:29:37.474851+00:00,2026-09-10T19:32:33.468717+00:00
5970,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:32:34.058949+00:00,2026-09-10T19:35:15.658338+00:00
6004,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:35:18.116417+00:00,2026-09-10T19:38:48.483157+00:00
6102,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:38:49.153154+00:00,2026-09-10T19:42:00.848579+00:00
6233,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:42:01.521960+00:00,2026-09-10T19:44:59.499687+00:00
6539,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:45:01.056260+00:00,2026-09-10T19:47:26.459249+00:00
6768,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:47:27.256444+00:00,2026-09-10T19:49:09.630887+00:00
6826,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:49:10.075018+00:00,2026-09-10T19:50:43.595393+00:00
6902,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:50:44.112190+00:00,2026-09-10T19:52:16.615485+00:00
6939,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:52:16.943506+00:00,2026-09-10T19:54:00.506480+00:00
6971,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:54:00.865741+00:00,2026-09-10T19:56:07.668311+00:00
7064,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:56:08.251141+00:00,2026-09-10T19:57:52.497025+00:00
7085,L1C,SUCCESS,14,14,0,14,,2026-09-10T19:57:53.013513+00:00,2026-09-10T20:00:01.859007+00:00
7202,L1C,SUCCESS,14,14,0,14,,2026-09-10T20:00:02.348364+00:00,2026-09-10T20:02:29.278391+00:00
7214,L1C,SUCCESS,14,14,0,14,,2026-09-10T20:02:29.700131+00:00,2026-09-10T20:04:36.170104+00:00
7218,L1C,SUCCESS,14,14,0,14,,2026-09-10T20:04:36.811721+00:00,2026-09-10T20:06:15.200778+00:00
7244,L1C,SUCCESS,14,14,0,14,,2026-09-10T20:06:15.615571+00:00,2026-09-10T20:08:10.247625+00:00
7279,L1C,SUCCESS,14,14,0,14,,2026-09-10T20:08:10.607843+00:00,2026-09-10T20:09:58.178693+00:00
7339,L1C,SUCCESS,14,14,0,14,,2026-09-10T20:09:58.524791+00:00,2026-09-10T20:11:27.229419+00:00
1517,L1C,PARTIAL,14,13,1,14,,2026-09-10T20:40:03.130960+00:00,2026-09-10T20:52:04.414335+00:00
