target_band_name,n_valid_primary,response_weighted_median,response_weighted_p90,corr_gain_weighted_median,weighted_fraction_corr_improved,weighted_fraction_exceeds_plausibility_flag
PAN,91,0.5111725837050471,0.976929810567526,0.0008291731690478,0.8297644129477113,0.12786822447806934
MS1,96,0.496795249171555,0.7045773356221616,-0.0002340651814253,0.457957170506337,0.10005619029780856
MS2,96,0.7728313073166646,0.996812800411135,0.0002966778652093,0.7016981956671037,0.07443341449709683
MS4,96,0.6198457619175315,0.9066546852700412,0.0007308369254734,0.7324717487669352,0.06218392957482675
MS5,96,0.4073326913639903,0.7882376285269856,0.0017328255424262,0.7882125241930449,0.07967784229256415
MS6,96,0.3237247429788112,0.7467356629204005,0.0017631681519568,0.7674221140038708,0.07480801648248735
MS7,96,0.3189983719785232,0.8596732299774885,0.0008811919926134,0.7599737778610227,0.08529687207342199
