criterion,sample_n_positive,HT_total_hat,point_percent,variance_upper_bound,se_upper_bound_percent,wald_uppervar_95_lo_percent,wald_uppervar_95_hi_percent,hoeffding_95_lo_percent,hoeffding_95_hi_percent,chebyshev_95_lo_percent,chebyshev_95_hi_percent
>=1 band >80 px,23,947.5999999999999,17.748642067802958,0.0035061884044970664,5.921307629651635,6.143092372303517,29.3541917633024,1.6274760281715706,33.869808107434345,0.0,44.229534818981364
>=2 bands >80 px,15,534.1999999999999,10.005619029780856,0.0035061884044970664,5.921307629651635,0.0,21.611168725280297,0.0,26.126785069412247,0.0,36.48651178095926
>=4 bands >80 px,13,399.4,7.480801648248734,0.0035061884044970664,5.921307629651635,0.0,19.086351343748177,0.0,23.60196768788012,0.0,33.961694399427145
>=6 bands >80 px,13,399.4,7.480801648248734,0.0035061884044970664,5.921307629651635,0.0,19.086351343748177,0.0,23.60196768788012,0.0,33.961694399427145
all 7 bands >80 px,9,221.0,4.139351938565274,0.0035061884044970664,5.921307629651635,0.0,15.744901634064714,0.0,20.260517978196663,0.0,30.620244689743682
