target_band_name,shift_n,shift_weighted_mean,shift_weighted_q25,shift_weighted_median,shift_weighted_q75,shift_weighted_p90,shift_weighted_p95,shift_min,shift_max,dx_weighted_mean_px,dy_weighted_mean_px,weighted_fraction_shift_le_0p5px,weighted_fraction_shift_le_1p0px,weighted_fraction_shift_le_2p0px,weighted_fraction_shift_le_5p0px,weighted_fraction_shift_le_10p0px,weighted_fraction_shift_le_80p0px,weighted_fraction_exceeds_80px
PAN,91,162.24010954184428,0.5192219316765759,1.0968613227795625,7.03109220047571,345.50379875280527,1740.74095295407,0.0164365514867411,2394.1554112095973,-10.276301596686537,-44.55588341908746,0.22016855008619043,0.4595032880035755,0.6619549256208902,0.6985379556917578,0.7997637745004151,0.8554683010917451,0.12786822447806934
MS1,96,111.40326884669712,1.188762300421491,2.050699966957225,3.7458798394354775,124.42916100018353,858.5391123497589,0.0658321928796549,2164.72500074598,2.135556677002596,10.572802454013349,0.042891927327214835,0.22716488730723608,0.48274957857276646,0.7854092526690392,0.8274583255291253,0.8999438097021915,0.10005619029780856
MS2,96,52.295459822910246,0.5413397997947506,0.9090270432279092,2.0268598696653,17.801498216089687,361.1996479031445,0.0372426908865509,2185.389975852061,11.041705895740403,-11.810971116526849,0.22330648685771368,0.519722794530811,0.7497221701941688,0.8374414684397828,0.8960666791533995,0.9251919835175128,0.07443341449709683
MS4,96,31.9657138519586,1.0003420333767026,1.5117682984533198,4.974764594672254,24.147070495653736,96.22398727148544,0.0434015860424444,1500.708914872666,-6.842068039095304,1.5611751012925632,0.07919085971155647,0.24203034276081659,0.5832115876880813,0.7539988761940439,0.7905225697696199,0.9378160704251732,0.06218392957482675
MS5,96,39.80747052357273,1.0718861117751464,1.8785469479973904,3.561804612846214,24.85980508984715,181.2578860190709,0.1484933476684835,3752.71492270789,-13.065698987007565,8.798688423646947,0.0714241118811263,0.20943372666541796,0.5548854342261348,0.8319160891552726,0.8775238808765687,0.920322157707436,0.07967784229256415
MS6,96,51.26118846919381,1.1686434962216354,2.2190751507570123,4.192923709418075,10.165264533301368,341.01008546337744,0.1206817112754738,1317.866989882774,-37.59656855136152,9.120112246047917,0.07810451395392395,0.18313042392458015,0.4217643753511894,0.7907410875944308,0.8899793968908036,0.9251919835175128,0.07480801648248735
MS7,96,41.36852333890509,0.9356704895964182,1.483173276289975,4.1986830383401,66.21075549581413,398.129230790994,0.0532989626849415,1815.6417904897207,12.877065139815201,15.555210065688799,0.13096709745894985,0.28638946119747766,0.6539801460947744,0.7708559655366174,0.8094399700318412,0.914703127926578,0.08529687207342199
