product_id,analysis_design_weight,valid_primary_bands,median_shift_px_across_bands,max_shift_px_across_bands,median_response_across_bands,median_corr_gain_across_bands
1295,25.0,7,387.3441051660785,1983.6847031737004,0.0009975872089853,-0.0633719264587265
1309,5.0,6,1.0232456130175032,3.0019080301136523,0.37769640516489744,0.00031278077931074996
1334,2.0,6,1.0603849208898628,2.2220091246282565,0.6636488107033074,0.012651713486920301
1369,24.0,7,1.6051698988037186,1.887953422228044,0.94498772372026,0.0088592678203566
1457,2.0,7,7.175178611140037,1988.3689180672693,0.0627105119638145,0.0001467548152397
1466,6.0,7,2.254524249329913,14.372806634835808,0.5678561255335808,0.0012503492347423
1470,20.0,7,1.3874241611503486,3.693832675286837,0.8504114644601941,0.0030196892892653
1489,4.0,7,2.012708100035222,3.044486256662795,0.7684771433705464,0.0044938913374646
1500,56.0,7,1.7008831241645486,3.114428745085472,0.5950967533588409,0.0076242600909308
1511,27.0,7,0.7078971592111805,2394.1554112095973,0.9126830419991164,0.0049777796919298
1514,2.0,7,465.2267555873117,1001.6855162429092,0.0034047655351459,-0.0004045174405165
1570,110.0,7,0.9921484195397976,6.899501912644584,0.7882376285269856,0.000596648561922
1603,35.0,7,1.2552625188310498,1.7490480549691214,0.8717179698869586,0.0013135683769412
1659,1.0,7,1.3227506375472209,2.919428184841252,0.6884995001601055,0.0009589317232936
1829,67.0,7,1.7980477370932952,3.010652061624465,0.5340348221361637,0.0007114964238732
1913,102.0,7,1.7365844643140964,3.177356641478315,0.8359476937912405,0.0015590819167015
1979,27.0,7,1.7096805419732952,3.000076261741216,0.3975291977403685,0.0165767049124709
2039,20.0,7,1612.857548093505,2185.389975852061,0.0006796211055188,-0.2102294260975369
2051,87.0,7,3.1048696252575985,4.222038317781194,0.525073905067984,0.0013677587915272
2111,3.0,7,1.2825317886738554,7.310868414093441,0.4895281344070099,-0.0024668934876477
2124,8.0,7,1.355064682235151,1.744819220730129,0.7916420310502872,0.0006515143233792
2127,47.0,7,5.110243500279212,18.36256977168033,0.678236068226397,0.003687627287515
2176,55.0,7,4.981148554977152,51.59192330016227,0.1115860163845354,-0.0052129911338735
2241,86.0,7,1.4336234489995,2.636305381950171,0.3740936843096278,0.0009211735929917
2266,76.0,7,0.7435047139468489,0.9128140574511452,0.725171563681215,0.0022198235812035
2275,87.0,7,0.7482749706607408,84.48336921925282,0.7084919513436034,0.0033225369393571
2315,35.0,7,4.418079724716314,7.10371770142966,0.311917366227135,0.0092656239157679
2366,3.0,7,1.261837572081178,2.44860093264914,0.7449459366034716,0.0008048194057496
2461,72.0,7,0.7786061782117077,1.2784726246711775,0.9206573470510192,0.001202249368175
2539,87.0,7,0.9090270432279092,2.107794067938804,0.4843529476784169,0.0014911181026719
2549,11.0,7,1.4541899178400313,2.7711237903980006,0.0391110964701511,0.0063516243238889
2613,76.0,7,1.0718861117751464,1579.2554710046827,0.4047325570136308,0.0005998574610601
