target_band_name,scale_delta_n,scale_delta_weighted_mean,scale_delta_weighted_q25,scale_delta_weighted_median,scale_delta_weighted_q75,scale_delta_weighted_p90,scale_delta_weighted_p95,scale_delta_min,scale_delta_max,weighted_fraction_scale_delta_le_1p0px,weighted_fraction_scale_delta_le_2p0px,weighted_fraction_scale_delta_le_5p0px,weighted_fraction_scale_delta_le_10p0px,weighted_fraction_scale_delta_le_80p0px
PAN,91,139.8644289894793,0.3393307059629538,0.5091754487054415,0.9929828644462498,60.82895494115986,998.2334333406088,0.0593597045986778,3999.191348573366,0.7514460831258382,0.8593755985443403,0.8729745259528828,0.8852327140394562,0.9169124688756944
MS1,95,47.9644398932258,1.142267961714833,1.4247291636086814,2.0423663635404194,18.772185555776225,360.1980827784942,0.2702162380478856,1158.6989090577,0.20836924614327648,0.7221535194553745,0.8948285553681843,0.8948285553681843,0.9144088439198051
MS2,96,66.71534815449586,0.4327023410513886,0.6381831736890246,0.9931070402023234,3.37237904479965,173.31798558445342,0.0796895697078614,3631.5529963601302,0.7561528376100393,0.8975650870949616,0.9029968158831243,0.9225697696197791,0.9420490728600862
MS4,96,45.96234069683903,0.2831359640608003,0.4543095076866742,1.1421161779823026,1.9808647670387256,331.3094808628297,0.024086864857187,1762.7834466435422,0.7153524380345883,0.9027158643940814,0.9212586626709123,0.9212586626709123,0.9420490728600862
MS5,96,38.67260757213788,0.3415555282118979,0.6226147469423338,1.096170400492,1.9986808685398316,210.7518198029248,0.0916036476153695,4608.51184600657,0.7304301679465567,0.9072110882187676,0.9283761003933322,0.9283761003933322,0.9416744708746957
MS6,96,69.62005086616522,0.4335880496378486,0.7123920950319137,1.3339530726906057,9.323308632392836,661.214876155285,0.0553325687320292,1299.576372778583,0.6491727539489293,0.8690016857089343,0.8851095710807267,0.9118936130361491,0.9122682150215397
MS7,96,57.58686569070469,0.3019688624303778,0.7398103192801357,1.1036714567473178,5.87462762075655,685.1538268020244,0.0568531624645576,1615.5592906287484,0.7200973965162015,0.8272647811700068,0.8942873197227946,0.905338078291815,0.9281887994006369
