qc_code,product_id,identifier,sample_order,stratum
QC055,4909,phisat_PHISAT-2_L1_000004909_20260402134045_20260402134048_F813E283.zip,64,T4_A0_L1
QC056,3706,phisat_PHISAT-2_L1_000003706_20251030055556_20251030055559_AFA2DD75.zip,47,T3_A2_L2
QC057,2366,phisat_PHISAT-2_L1_000002366_20250525172359_20250525172402_8EE8A5FC.zip,29,T2_A1_L0
QC058,5891,phisat_PHISAT-2_L1_000005891_20260620155833_20260620155836_E3656957.zip,78,T5_A2_L1
QC059,1334,phisat_PHISAT-2_L1_000001334_20241002112816_20241002112825_07E22ED4.zip,3,T0_A1_L1
QC060,7202,phisat_PHISAT-2_L1_000007202_20260831144128_20260831144131_B699680E.zip,91,T5_A0_L1
QC061,5185,phisat_PHISAT-2_L1_000005185_20260425043308_20260425043311_A67963B8.zip,68,T4_A1_L3
QC062,4797,phisat_PHISAT-2_L1_000004797_20260324173121_20260324173124_66271D37.zip,62,T4_A2_L0
QC063,2275,phisat_PHISAT-2_L1_000002275_20250516080112_20250516080115_576D9844.zip,27,T2_A2_L2
QC064,7085,phisat_PHISAT-2_L1_000007085_20260826073050_20260826073053_9BAEA96F.zip,90,T5_A2_L2
QC065,7244,phisat_PHISAT-2_L1_000007244_20260902120011_20260902120014_2A687717.zip,94,T5_A1_L1
QC066,2124,phisat_PHISAT-2_L1_000002124_20250426091301_20250426091304_C023A343.zip,22,T1_A0_L2
QC067,6768,phisat_PHISAT-2_L1_000006768_20260811051726_20260811051729_E28C8897.zip,84,T5_A2_L3
QC068,6826,phisat_PHISAT-2_L1_000006826_20260814053152_20260814053155_37638EDC.zip,85,T5_A1_L2
QC069,3888,phisat_PHISAT-2_L1_000003888_20251122025039_20251122025041_AB138D32.zip,52,T3_A2_L3
QC070,5701,phisat_PHISAT-2_L1_000005701_20260609062811_20260609062822_AFB34BEA.zip,75,T5_A1_L0
QC071,2808,phisat_PHISAT-2_L1_000002808_20250718051408_20250718051411_2290F3A1.zip,39,T2_A2_L2
QC072,2266,phisat_PHISAT-2_L1_000002266_20250515113014_20250515113017_4E0F08E2.zip,26,T2_A2_L1
QC073,5970,phisat_PHISAT-2_L1_000005970_20260625151839_20260625151843_BBF4DE42.zip,79,T5_A1_L1
QC074,2051,phisat_PHISAT-2_L1_000002051_20250418035455_20250418035458_CDFBA153.zip,20,T1_A2_L3
QC075,4844,phisat_PHISAT-2_L1_000004844_20260328135815_20260328135818_A2F8A831.zip,63,T4_A2_L1
QC076,1295,phisat_PHISAT-2_L1_000001295_20240829002027_20240829002036_B5E60397.zip,1,T0_A0_L3
QC077,3077,phisat_PHISAT-2_L1_000003077_20250814013234_20250814013237_45EB5DF2.zip,40,T2_A1_L3
QC078,5287,phisat_PHISAT-2_L1_000005287_20260505093204_20260505093209_79E8C983.zip,69,T4_A0_L2
QC079,2241,phisat_PHISAT-2_L1_000002241_20250512030758_20250512030801_0DE44950.zip,25,T2_A2_L3
QC080,6971,phisat_PHISAT-2_L1_000006971_20260821003923_20260821003925_4019CC92.zip,88,T5_A1_L3
QC081,1369,phisat_PHISAT-2_L1_000001369_20241015185218_20241015185224_0DECCD4F.zip,4,T0_A2_L0
QC082,3811,phisat_PHISAT-2_L1_000003811_20251109054446_20251109054456_63343DB9.zip,49,T3_A0_L0
QC083,1829,phisat_PHISAT-2_L1_000001829_20250323161144_20250323161147_95FE5DAA.zip,16,T1_A2_L1
QC084,3219,phisat_PHISAT-2_L1_000003219_20250903154140_20250903154143_9C4822EA.zip,41,T3_A2_L1
QC085,1514,phisat_PHISAT-2_L1_000001514_20241127054139_20241127054141_C2C9134D.zip,11,T0_A1_L0
QC086,4993,phisat_PHISAT-2_L1_000004993_20260409035539_20260409035544_7887381F.zip,66,T4_A2_L3
QC087,7279,phisat_PHISAT-2_L1_000007279_20260904074955_20260904074958_1A2B7947.zip,95,T5_A2_L2
QC088,3228,phisat_PHISAT-2_L1_000003228_20250904103410_20250904103412_1E348DC8.zip,42,T3_A2_L2
QC089,6539,phisat_PHISAT-2_L1_000006539_20260727200949_20260727200957_84F44E41.zip,83,T5_A2_L0
QC090,3500,phisat_PHISAT-2_L1_000003500_20251002153724_20251002153726_BD5FB8CC.zip,44,T3_A1_L1
QC091,1511,phisat_PHISAT-2_L1_000001511_20241126112522_20241126112528_02B134C6.zip,10,T0_A2_L1
QC092,6004,phisat_PHISAT-2_L1_000006004_20260628013003_20260628013006_72F98DC9.zip,80,T5_A1_L3
QC093,2461,phisat_PHISAT-2_L1_000002461_20250605210244_20250605210247_0B008A03.zip,30,T2_A2_L0
QC094,1979,phisat_PHISAT-2_L1_000001979_20250409133816_20250409133819_6C4A2EA2.zip,18,T1_A0_L1
QC095,4160,phisat_PHISAT-2_L1_000004160_20251220170802_20251220170812_66CD41C7.zip,55,T3_A0_L2
QC096,6233,phisat_PHISAT-2_L1_000006233_20260712101658_20260712101700_234C0B47.zip,82,T5_A2_L2
