level,product_id,identifier,filename,feature_id,start_datetime,completion_datetime,center_lon,center_lat
L1C,1471,phisat_PHISAT-2_L1_000001471_20241110112305_20241110112310_74757EC3.zip,PHISAT-2_L1_000001471_20241110112305_20241110112310_74757EC3.zip,17b085cb-ae74-59be-8e65-572dda612922,2024-11-10 11:23:05+00:00,2024-11-10 11:23:10+00:00,-5.516005653,36.034488442
L1C,1471,phisat_PHISAT-2_L1_000001471_20241110112306_20241110112312_74757EC3.zip,PHISAT-2_L1_000001471_20241110112306_20241110112312_74757EC3.zip,28211385-d225-58ba-b09a-a309e3f5be3a,2024-11-10 11:23:06+00:00,2024-11-10 11:23:12+00:00,-5.51577531,36.034839138
L1C,1615,phisat_PHISAT-2_L1_000001615_20250206141440_20250206141447_4605810C.zip,PHISAT-2_L1_000001615_20250206141440_20250206141447_4605810C.zip,56116187-ef4b-5c7b-8cd8-255f8d322a31,2025-02-06 14:14:40+00:00,2025-02-06 14:14:47+00:00,-58.25203516,-34.30937244
L1C,1615,phisat_PHISAT-2_L1_000001615_20250206141440_20250206141446_4605810C.zip,PHISAT-2_L1_000001615_20250206141440_20250206141446_4605810C.zip,f552b225-b1ba-5b09-9329-d1dd80c1e9e8,2025-02-06 14:14:40+00:00,2025-02-06 14:14:46+00:00,-58.276907347,-34.308453234
